date,group,product,price,quantity,cost
1402/05,لبنیات,پنیر,275,479,179
1402/06,لبنیات,پنیر,275,475,179
1402/07,لبنیات,پنیر,299,439,194
1402/08,لبنیات,پنیر,305,409,198
1402/09,لبنیات,پنیر,292,429,190
1402/10,لبنیات,پنیر,311,414,202
1402/11,لبنیات,پنیر,301,427,195
1402/12,لبنیات,پنیر,310,422,202
1400/01,نان و غلات,برنج,199,720,139
1400/02,نان و غلات,برنج,204,692,143
1400/03,نان و غلات,برنج,212,654,148
1400/04,نان و غلات,برنج,221,621,155
1400/05,نان و غلات,برنج,231,597,162
1400/06,نان و غلات,برنج,245,554,172
1400/07,نان و غلات,برنج,241,580,168
1400/08,نان و غلات,برنج,246,571,172
1400/09,نان و غلات,برنج,251,565,176
1400/10,نان و غلات,برنج,263,523,184
1400/11,نان و غلات,برنج,264,511,185
1400/12,نان و غلات,برنج,262,539,183
1401/01,نان و غلات,برنج,284,492,199
1401/02,نان و غلات,برنج,282,483,198
1401/03,نان و غلات,برنج,298,473,208
1401/04,نان و غلات,برنج,288,486,202
1401/05,نان و غلات,برنج,306,449,214
1401/06,نان و غلات,برنج,309,442,216
1401/07,نان و غلات,برنج,321,427,224
1401/08,نان و غلات,برنج,323,416,226
1401/09,نان و غلات,برنج,326,413,228
1401/10,نان و غلات,برنج,330,424,231
1401/11,نان و غلات,برنج,331,408,232
1401/12,نان و غلات,برنج,331,412,231
1402/01,نان و غلات,برنج,345,390,242
1402/02,نان و غلات,برنج,357,389,250
1402/03,نان و غلات,برنج,356,391,249
1402/04,نان و غلات,برنج,382,358,268
1402/05,نان و غلات,برنج,384,355,269
1402/06,نان و غلات,برنج,383,353,268
1402/07,نان و غلات,برنج,374,364,262
1402/08,نان و غلات,برنج,406,339,284
1402/09,نان و غلات,برنج,401,335,280
1402/10,نان و غلات,برنج,407,327,285
1402/11,نان و غلات,برنج,398,339,278
1402/12,نان و غلات,برنج,403,329,282
1400/01,نان و غلات,نان لواش,32,2454,19
1400/02,نان و غلات,نان لواش,32,2391,19
1400/03,نان و غلات,نان لواش,33,2333,20
1400/04,نان و غلات,نان لواش,34,2275,21
1400/05,نان و غلات,نان لواش,35,2264,21
1400/06,نان و غلات,نان لواش,36,2203,22
1400/07,نان و غلات,نان لواش,36,2197,21
1400/08,نان و غلات,نان لواش,36,2188,22
1400/09,نان و غلات,نان لواش,38,2121,23
1400/10,نان و غلات,نان لواش,38,2203,23
1400/11,نان و غلات,نان لواش,41,2016,25
1400/12,نان و غلات,نان لواش,40,2075,24
1401/01,نان و غلات,نان لواش,42,2071,25
1401/02,نان و غلات,نان لواش,43,2026,26
1401/03,نان و غلات,نان لواش,42,2080,25
1401/04,نان و غلات,نان لواش,43,1994,26
1401/05,نان و غلات,نان لواش,45,1994,27
1401/06,نان و غلات,نان لواش,46,1971,28
1401/07,نان و غلات,نان لواش,49,1845,29
1401/08,نان و غلات,نان لواش,46,1961,28
1401/09,نان و غلات,نان لواش,51,1879,30
1401/10,نان و غلات,نان لواش,52,1842,31
1401/11,نان و غلات,نان لواش,51,1815,31
1401/12,نان و غلات,نان لواش,52,1809,31
1402/01,نان و غلات,نان لواش,53,1778,32
1402/02,نان و غلات,نان لواش,53,1801,32
1402/03,نان و غلات,نان لواش,54,1769,33
1402/04,نان و غلات,نان لواش,54,1793,32
1402/05,نان و غلات,نان لواش,55,1767,33
1402/06,نان و غلات,نان لواش,55,1716,33
1402/07,نان و غلات,نان لواش,57,1653,34
1402/08,نان و غلات,نان لواش,61,1613,37
1402/09,نان و غلات,نان لواش,60,1629,36
1402/10,نان و غلات,نان لواش,59,1677,36
1402/11,نان و غلات,نان لواش,62,1660,37
1402/12,نان و غلات,نان لواش,61,1597,37
1400/01,پروتئین,گوشت قرمز,1885,278,1470
1400/02,پروتئین,گوشت قرمز,1967,252,1534
1400/03,پروتئین,گوشت قرمز,1924,274,1501
1400/04,پروتئین,گوشت قرمز,1946,268,1518
1400/05,پروتئین,گوشت قرمز,2078,247,1621
1400/06,پروتئین,گوشت قرمز,2169,228,1692
1400/07,پروتئین,گوشت قرمز,2203,221,1718
1400/08,پروتئین,گوشت قرمز,2186,225,1705
1400/09,پروتئین,گوشت قرمز,2334,199,1821
1400/10,پروتئین,گوشت قرمز,2422,187,1889
1400/11,پروتئین,گوشت قرمز,2331,202,1818
1400/12,پروتئین,گوشت قرمز,2356,209,1838
1401/01,پروتئین,گوشت قرمز,2451,194,1911
1401/02,پروتئین,گوشت قرمز,2491,187,1943
1401/03,پروتئین,گوشت قرمز,2600,179,2028
1401/04,پروتئین,گوشت قرمز,2609,174,2035
1401/05,پروتئین,گوشت قرمز,2777,155,2166
1401/06,پروتئین,گوشت قرمز,2719,161,2121
1401/07,پروتئین,گوشت قرمز,2726,164,2126
1401/08,پروتئین,گوشت قرمز,2811,151,2192
1401/09,پروتئین,گوشت قرمز,2897,151,2260
1401/10,پروتئین,گوشت قرمز,2879,153,2246
1401/11,پروتئین,گوشت قرمز,3119,133,2433
1401/12,پروتئین,گوشت قرمز,2974,146,2320
1402/01,پروتئین,گوشت قرمز,3244,123,2531
1402/02,پروتئین,گوشت قرمز,3094,133,2413
1402/03,پروتئین,گوشت قرمز,3311,121,2582
1402/04,پروتئین,گوشت قرمز,3231,127,2520
1402/05,پروتئین,گوشت قرمز,3441,113,2684
1402/06,پروتئین,گوشت قرمز,3370,118,2629
1402/07,پروتئین,گوشت قرمز,3440,115,2684
1402/08,پروتئین,گوشت قرمز,3542,109,2763
1402/09,پروتئین,گوشت قرمز,3561,109,2778
1402/10,پروتئین,گوشت قرمز,3692,104,2880
1402/11,پروتئین,گوشت قرمز,3755,99,2929
1402/12,پروتئین,گوشت قرمز,3795,95,2960
1400/01,پروتئین,مرغ,665,1214,499
1400/02,پروتئین,مرغ,679,1202,509
1400/03,پروتئین,مرغ,714,1168,536
1400/04,پروتئین,مرغ,745,1108,559
1400/05,پروتئین,مرغ,772,1136,579
1400/06,پروتئین,مرغ,760,1128,570
1400/07,پروتئین,مرغ,758,1155,569
1400/08,پروتئین,مرغ,778,1157,584
1400/09,پروتئین,مرغ,851,1071,638
1400/10,پروتئین,مرغ,849,1113,637
1400/11,پروتئین,مرغ,870,1034,652
1400/12,پروتئین,مرغ,912,1004,684
1401/01,پروتئین,مرغ,927,1044,695
1401/02,پروتئین,مرغ,948,1010,711
1401/03,پروتئین,مرغ,970,1040,728
1401/04,پروتئین,مرغ,927,1067,696
1401/05,پروتئین,مرغ,973,1036,730
1401/06,پروتئین,مرغ,993,1017,745
1401/07,پروتئین,مرغ,983,1018,737
1401/08,پروتئین,مرغ,1038,997,778
1401/09,پروتئین,مرغ,1075,996,806
1401/10,پروتئین,مرغ,1089,949,817
1401/11,پروتئین,مرغ,1129,974,846
1401/12,پروتئین,مرغ,1134,935,850
1402/01,پروتئین,مرغ,1152,962,864
1402/02,پروتئین,مرغ,1113,1002,835
1402/03,پروتئین,مرغ,1207,955,905
1402/04,پروتئین,مرغ,1202,945,902
1402/05,پروتئین,مرغ,1197,996,898
1402/06,پروتئین,مرغ,1202,965,901
1402/07,پروتئین,مرغ,1221,978,916
1402/08,پروتئین,مرغ,1225,953,919
1402/09,پروتئین,مرغ,1261,933,946
1402/10,پروتئین,مرغ,1335,927,1001
1402/11,پروتئین,مرغ,1287,971,965
1402/12,پروتئین,مرغ,1316,957,987
1400/01,میوه,سیب,125,951,84
1400/02,میوه,سیب,123,967,83
1400/03,میوه,سیب,127,934,85
1400/04,میوه,سیب,129,920,86
1400/05,میوه,سیب,134,888,90
1400/06,میوه,سیب,145,788,97
1400/07,میوه,سیب,148,782,99
1400/08,میوه,سیب,147,793,98
1400/09,میوه,سیب,151,757,101
1400/10,میوه,سیب,158,712,106
1400/11,میوه,سیب,158,711,106
1400/12,میوه,سیب,165,692,110
1401/01,میوه,سیب,171,652,115
1401/02,میوه,سیب,173,639,116
1401/03,میوه,سیب,173,637,116
1401/04,میوه,سیب,171,655,114
1401/05,میوه,سیب,175,624,117
1401/06,میوه,سیب,178,622,119
1401/07,میوه,سیب,186,579,125
1401/08,میوه,سیب,192,559,129
1401/09,میوه,سیب,191,580,128
1401/10,میوه,سیب,203,543,136
1401/11,میوه,سیب,206,522,138
1401/12,میوه,سیب,205,539,137
1402/01,میوه,سیب,203,519,136
1402/02,میوه,سیب,210,519,141
1402/03,میوه,سیب,216,496,145
1402/04,میوه,سیب,225,466,151
1402/05,میوه,سیب,218,485,146
1402/06,میوه,سیب,231,463,154
1402/07,میوه,سیب,238,436,160
1402/08,میوه,سیب,234,449,157
1402/09,میوه,سیب,246,431,165
1402/10,میوه,سیب,235,444,158
1402/11,میوه,سیب,250,415,167
1402/12,میوه,سیب,242,436,162
1400/01,سبزیجات,گوجه فرنگی,86,1453,47
1400/02,سبزیجات,گوجه فرنگی,85,1469,47
1400/03,سبزیجات,گوجه فرنگی,89,1417,49
1400/04,سبزیجات,گوجه فرنگی,88,1399,49
1400/05,سبزیجات,گوجه فرنگی,93,1361,51
1400/06,سبزیجات,گوجه فرنگی,96,1391,53
1400/07,سبزیجات,گوجه فرنگی,100,1301,55
1400/08,سبزیجات,گوجه فرنگی,96,1372,53
1400/09,سبزیجات,گوجه فرنگی,98,1339,54
1400/10,سبزیجات,گوجه فرنگی,104,1317,57
1400/11,سبزیجات,گوجه فرنگی,105,1305,58
1400/12,سبزیجات,گوجه فرنگی,107,1248,59
1401/01,سبزیجات,گوجه فرنگی,108,1260,60
1401/02,سبزیجات,گوجه فرنگی,115,1208,63
1401/03,سبزیجات,گوجه فرنگی,113,1243,62
1401/04,سبزیجات,گوجه فرنگی,116,1224,64
1401/05,سبزیجات,گوجه فرنگی,122,1215,67
1401/06,سبزیجات,گوجه فرنگی,122,1184,67
1401/07,سبزیجات,گوجه فرنگی,123,1170,68
1401/08,سبزیجات,گوجه فرنگی,128,1161,70
1401/09,سبزیجات,گوجه فرنگی,130,1121,71
1401/10,سبزیجات,گوجه فرنگی,129,1164,71
1401/11,سبزیجات,گوجه فرنگی,137,1133,75
1401/12,سبزیجات,گوجه فرنگی,140,1087,77
1402/01,سبزیجات,گوجه فرنگی,144,1105,79
1402/02,سبزیجات,گوجه فرنگی,137,1099,76
1402/03,سبزیجات,گوجه فرنگی,149,1083,82
1402/04,سبزیجات,گوجه فرنگی,152,1077,83
1402/05,سبزیجات,گوجه فرنگی,152,1041,84
1402/06,سبزیجات,گوجه فرنگی,154,1034,85
1402/07,سبزیجات,گوجه فرنگی,153,1059,84
1402/08,سبزیجات,گوجه فرنگی,152,1079,83
1402/09,سبزیجات,گوجه فرنگی,164,988,90
1402/10,سبزیجات,گوجه فرنگی,163,990,90
1402/11,سبزیجات,گوجه فرنگی,170,999,94
1402/12,سبزیجات,گوجه فرنگی,163,990,90
1400/01,نوشیدنی,نوشابهٔ انرژی‌زا,261,353,104
1400/02,نوشیدنی,نوشابهٔ انرژی‌زا,264,355,105
1400/03,نوشیدنی,نوشابهٔ انرژی‌زا,282,292,113
1400/04,نوشیدنی,نوشابهٔ انرژی‌زا,287,280,115
1400/05,نوشیدنی,نوشابهٔ انرژی‌زا,290,280,116
1400/06,نوشیدنی,نوشابهٔ انرژی‌زا,285,290,114
1400/07,نوشیدنی,نوشابهٔ انرژی‌زا,306,242,122
1400/08,نوشیدنی,نوشابهٔ انرژی‌زا,322,218,129
1400/09,نوشیدنی,نوشابهٔ انرژی‌زا,306,253,122
1400/10,نوشیدنی,نوشابهٔ انرژی‌زا,316,231,126
1400/11,نوشیدنی,نوشابهٔ انرژی‌زا,336,196,134
1400/12,نوشیدنی,نوشابهٔ انرژی‌زا,329,211,132
1401/01,نوشیدنی,نوشابهٔ انرژی‌زا,359,170,144
1401/02,نوشیدنی,نوشابهٔ انرژی‌زا,348,180,139
1401/03,نوشیدنی,نوشابهٔ انرژی‌زا,367,157,147
1401/04,نوشیدنی,نوشابهٔ انرژی‌زا,371,157,148
1401/05,نوشیدنی,نوشابهٔ انرژی‌زا,383,144,153
1401/06,نوشیدنی,نوشابهٔ انرژی‌زا,387,138,155
1401/07,نوشیدنی,نوشابهٔ انرژی‌زا,383,147,153
1401/08,نوشیدنی,نوشابهٔ انرژی‌زا,390,135,156
1401/09,نوشیدنی,نوشابهٔ انرژی‌زا,412,119,165
1401/10,نوشیدنی,نوشابهٔ انرژی‌زا,418,114,167
1401/11,نوشیدنی,نوشابهٔ انرژی‌زا,427,112,171
1401/12,نوشیدنی,نوشابهٔ انرژی‌زا,439,104,175
1402/01,نوشیدنی,نوشابهٔ انرژی‌زا,445,99,178
1402/02,نوشیدنی,نوشابهٔ انرژی‌زا,460,94,184
1402/03,نوشیدنی,نوشابهٔ انرژی‌زا,469,88,188
1402/04,نوشیدنی,نوشابهٔ انرژی‌زا,447,100,179
1402/05,نوشیدنی,نوشابهٔ انرژی‌زا,484,84,193
1402/06,نوشیدنی,نوشابهٔ انرژی‌زا,463,93,185
1402/07,نوشیدنی,نوشابهٔ انرژی‌زا,501,77,200
1402/08,نوشیدنی,نوشابهٔ انرژی‌زا,476,84,190
1402/09,نوشیدنی,نوشابهٔ انرژی‌زا,512,72,205
1402/10,نوشیدنی,نوشابهٔ انرژی‌زا,501,75,200
1402/11,نوشیدنی,نوشابهٔ انرژی‌زا,502,75,201
1402/12,نوشیدنی,نوشابهٔ انرژی‌زا,500,74,200
1400/01,آجیل,پسته,912,247,456
1400/02,آجیل,پسته,957,226,478
1400/03,آجیل,پسته,1015,210,507
1400/04,آجیل,پسته,994,216,497
1400/05,آجیل,پسته,1022,201,511
1400/06,آجیل,پسته,1046,198,523
1400/07,آجیل,پسته,1082,186,541
1400/08,آجیل,پسته,1099,185,549
1400/09,آجیل,پسته,1102,180,551
1400/10,آجیل,پسته,1161,163,581
1400/11,آجیل,پسته,1174,163,587
1400/12,آجیل,پسته,1247,146,623
1401/01,آجیل,پسته,1278,146,639
1401/02,آجیل,پسته,1319,139,660
1401/03,آجیل,پسته,1273,142,637
1401/04,آجیل,پسته,1311,140,655
1401/05,آجیل,پسته,1335,133,668
1401/06,آجیل,پسته,1358,132,679
1401/07,آجیل,پسته,1452,114,726
1401/08,آجیل,پسته,1404,122,702
1401/09,آجیل,پسته,1438,121,719
1401/10,آجیل,پسته,1550,103,775
1401/11,آجیل,پسته,1491,111,746
1401/12,آجیل,پسته,1534,104,767
1402/01,آجیل,پسته,1621,99,810
1402/02,آجیل,پسته,1619,98,809
1402/03,آجیل,پسته,1611,99,806
1402/04,آجیل,پسته,1668,94,834
1402/05,آجیل,پسته,1744,85,872
1402/06,آجیل,پسته,1675,94,838
1402/07,آجیل,پسته,1761,87,881
1402/08,آجیل,پسته,1712,88,856
1402/09,آجیل,پسته,1829,79,915
1402/10,آجیل,پسته,1829,79,914
1402/11,آجیل,پسته,1774,84,887
1402/12,آجیل,پسته,1919,75,960
